family	bosnian_form	hr_form	sr_form	rate_bs	rate_hr	rate_sr	share_vs_hr	share_vs_sr	assoc_hr	assoc_sr	n_aligned_hr	n_aligned_sr	mined_hr	mined_sr
ambasada	ambasador	veleposlanik		145.48	0.00	145.85	1.0000	0.4994	0.917		375	0	bs->alt	
ambasada	ambasadora	veleposlanika		48.49	0.00	44.97	1.0000	0.5189	0.816		125	0	bs->alt	
ambasada	ambasadori	veleposlanici		17.46	0.00	18.77	1.0000	0.4819	0.956		45	0	bs->alt	
ambasadorica	ambasadorica	veleposlanica		13.58	0.40	0.00	0.9716	1.0000	0.971		35	0	bs->alt	
ambasada	ambasadorom	veleposlanikom		8.92	0.00	9.78	1.0000	0.4772	0.870		23	0	bs->alt	
ambasada	ambasadu	veleposlanstvo		21.72	0.00	23.07	1.0000	0.4850	0.929		56	0	bs->alt	
andy	andy		endi	24.83	25.77	0.00	0.4907	1.0000		0.953	0	64		bs->alt
annan	annan		anan	8.92	9.12	0.00	0.4946	1.0000		0.870	0	23		bs->alt
antonescu	antonescu		antonesku	9.31	9.91	0.00	0.4844	1.0000		1.000	0	24		bs->alt
april	april	travnja		133.06	0.00	51.62	1.0000	0.7205	0.749		343	0	bs->alt	
april	aprila	travnja		249.83	0.00	333.15	1.0000	0.4285	0.932		644	0	bs->alt	
april	aprilu	travnju		92.72	0.00	91.89	1.0000	0.5022	0.912		239	0	bs->alt	
